pdbid entity method              res-ion   resid chain dih1            dih2            dih3            dih4            dih5            dih6            
2eau  1      X-ray diffraction   2.8       1013  A     -132.3640459311 148.2125112515  69.1872482169   94.1868464514   -135.4939137948 -88.5911056247  
3ar3  1      X-ray diffraction   2.3       1011  A     -158.8949455648 143.0702070829  -158.6366310775 -149.4984696981 179.1403382997  -86.9606491921  
3ar3  1      X-ray diffraction   2.3       1012  A     31.6948795706   118.6718104770  -170.5403896449 -92.0343054282  -136.2068985497 -174.5462457345 
3ar3  1      X-ray diffraction   2.3       1013  A     -134.7459909395 176.0322409227  -163.6968589278 -108.4196847463 176.3018276556  -60.6501267760  
3ar7  1      X-ray diffraction   2.15      1011  A     -65.9588542355  -118.0374231159 168.0690435108  -59.6581038898  -136.1221613059 169.0807690027  
3ar7  1      X-ray diffraction   2.15      1012  A     62.1148439358   155.3290434177  171.7081053807  -141.8319458327 -108.4305633535 175.5081226867  
3ar7  1      X-ray diffraction   2.15      1013  A     -133.8148153669 -169.5852427361 -179.4031302884 -91.6717307020  -158.2094435067 -102.5819656255 
3ar6  1      X-ray diffraction   2.2       1011  A     -162.1160470894 -173.2545115960 -178.0056049944 88.9908688436   133.9260349622  79.5813192184   
1l8j  1      X-ray diffraction   2.0       200   A     55.3657426529   169.7657174049  -72.4077779556  -62.9100901847  175.0016171124  -116.9364851349 
1lqv  1      X-ray diffraction   1.6       606   A     82.9747504200   169.7912705807  -55.7813022789  -63.1794088835  -103.6650354763 175.3561507384  
1lqv  1      X-ray diffraction   1.6       607   B     80.6701441919   171.2486168605  -72.3749111472  -64.6974689558  -107.9216109499 -178.4481961814 
4cz8  1      X-ray diffraction   3.15      1424  A     113.5507890395  83.6160473345   -177.4896677372 160.3771210499  159.4331565917  59.7525742931   
4ycn  1      X-ray diffraction   3.5       1005  A     92.3629246009   88.1344744790   -163.5768522126 -67.4666792686  -150.5287881278 -168.6604203309 
4ycn  1      X-ray diffraction   3.5       1006  A     51.3036480792   -176.2089607208 162.0519454187  -61.4556911620  -170.8926843767 -164.1022406080 
