pdbid entity method              res-ion   resid chain dih1            dih2            dih3            dih4            dih5            dih6            
1m56  2      X-ray diffraction   2.3       3011  J     174.4166723360  -149.1704510690 149.7221169974  165.7403239238  -158.5815897949 -53.6806747046  
5weh  1      X-ray diffraction   3.45      606   A     161.6782116089  -75.5757374645  147.6370130144  -145.6577483805 -171.8493921002 -119.3054018354 
5weh  1      X-ray diffraction   3.45      607   A     173.7887722529  153.2972980397  96.9319514095   128.4723286545  104.7636189898  -103.2521244176 
5weh  1      X-ray diffraction   3.45      607   G     172.4979231533  -138.2383159522 138.3925922026  174.6436713584  -160.0570058849 -73.9891047862  
5weh  1      X-ray diffraction   3.45      608   G     -166.9804674416 142.2915471611  92.4875243673   104.3416204677  144.6758257474  -110.1297365277 
5weh  1      X-ray diffraction   3.45      301   C     69.0221475892   26.9287268045   146.6599386862  -31.5648736319  140.8754532305  151.2284138782  
5weh  1      X-ray diffraction   3.45      302   C     -109.4075772276 -101.4532497231 140.0450962169  111.3861632781  147.5966786031  35.3302996138   
5weh  1      X-ray diffraction   3.45      101   D     95.2949660266   -124.1289505193 145.2364403995  -113.4944319573 -128.4988320668 -143.0281898914 
5weh  1      X-ray diffraction   3.45      301   I     173.0229628054  -88.6399802521  147.3143099449  -15.5913890218  143.7726128316  138.2507075582  
5weh  1      X-ray diffraction   3.45      302   I     -119.5497443289 -107.2151543061 134.9105639930  88.6969155390   -122.6994539279 73.7638622802   
5weh  1      X-ray diffraction   3.45      303   I     -174.6191305854 76.7790082339   136.3377247288  2.5486723753    -167.8596895681 113.6966708699  
5weh  1      X-ray diffraction   3.45      101   J     84.7889340391   35.2280808274   147.9182300834  -145.2498395144 -129.5918401100 -154.3308140969 
6wbn  1      Electron Microscopy 2.83      403   A     65.2167364449   -139.5138840575 -96.3230936361  40.1357677299   -174.2824372342 -176.4071935092 
6wbg  1      Electron Microscopy 2.97      403   A     30.7032362874   -128.1333612143 -93.6538813408  55.2507497225   -132.7107433160 151.0748196589  
6wbm  1      Electron Microscopy 2.86      403   A     60.4371982657   -143.5676367118 -96.7703538957  38.2292154913   -176.9582472567 176.8391632540  
6zqv  1      Electron Microscopy 2.6       604   A     -160.8603780105 -151.1880165216 -117.7108313623 -68.6140246783  89.2474116760   22.9208932364   
6zqv  1      Electron Microscopy 2.6       604   C     179.0685996827  -107.2797268726 -88.0060055369  -69.5474796442  85.3164243519   31.4002269687   
6zqv  1      Electron Microscopy 2.6       604   E     -163.2768911220 -144.7476190889 -110.8828515119 -71.1977187401  86.8156648860   32.8030800160   
2x72  2      X-ray diffraction   3.0       401   A     -62.4521745445  107.2671266814  83.0838378716   -78.3666254105  155.7610991160  76.8893636364   
2qgu  1      X-ray diffraction   1.5       301   A     74.6905972292   -132.6704516482 -63.6340530990  -64.9521411576  -163.1754494946 73.3795057362   
3wmm  1      X-ray diffraction   3.008     301   H     128.0562835096  84.1448090235   5.7262222028    -130.7118764563 178.6766195879  -98.2185143659  
1yp0  1      X-ray diffraction   1.5       201   A     25.3823172486   -174.9566454800 -176.4013678755 -174.9734412653 172.1443748332  76.3739643169   
1zdt  1      X-ray diffraction   2.1       1001  A     72.0212488556   167.2692840976  -61.0790151334  -53.1440030285  -142.5234078483 -63.0281743859  
1zdt  1      X-ray diffraction   2.1       1002  B     109.0420631062  160.2537417811  -56.6306830783  -62.3828961058  -153.3060343032 -54.0265474891  
1kb9  1      X-ray diffraction   2.3       510   C     136.7429042009  -79.2991153954  -179.4182238245 61.2117684349   162.7066462518  -18.4915679637  
1kb9  1      X-ray diffraction   2.3       513   C     -31.4745103129  -115.6404847562 -86.9141353225  101.9713277478  142.2284801485  144.9059514830  
1eys  1      X-ray diffraction   2.2       708   H     98.9997375315   -87.8387383195  52.8284862161   -130.7150192646 178.7048927069  -98.2513193396  
5klv  1      X-ray diffraction   2.652     1002  D     172.8015654408  -169.3842926908 78.8779249863   -98.9425764816  172.8039151609  73.7141466146   
5y5s  1      X-ray diffraction   1.9       418   M     117.5390907572  -156.5962853728 46.8998481466   141.2513671778  133.6278050521  99.8802419316   
5y5s  1      X-ray diffraction   1.9       104   K     -152.1685467311 154.6566251688  71.2352470037   -84.7486031166  -164.7521514433 73.8543338905   
5w7l  1      X-ray diffraction   2.74      303   A     -146.8040591493 -153.1777062966 116.9565047694  128.6823612279  77.1015041399   44.1501874731   
5w7l  1      X-ray diffraction   2.74      304   A     -142.6462062726 171.1340362330  -173.9400543412 -145.8944326391 148.6013921485  120.2668850076  
5w7l  1      X-ray diffraction   2.74      302   B     -175.3764621242 137.3257033039  153.5366670784  156.0987860407  118.4552990741  -167.2506508597 
5w7l  1      X-ray diffraction   2.74      303   B     173.3397617835  168.2688337481  163.1375654241  -77.6053881039  -146.4045261854 -12.4479944014  
6t15  1      Electron Microscopy 3.29      501   A     -59.2224860611  164.1367846696  55.4224600738   -127.4003490026 173.7686241867  27.3708518527   
6t15  1      Electron Microscopy 3.29      604   C     -46.8211225766  174.2964899292  -142.9854254547 -170.8420430777 -123.7514036569 -158.9947980107 
6t15  1      Electron Microscopy 3.29      605   C     -173.7942619252 161.7039270702  98.4657443826   -78.8525171785  -160.1657626537 178.3497758359  
6t15  1      Electron Microscopy 3.29      302   E     -61.3246510200  -164.8766980348 22.3182971604   -154.4452543639 132.1459741314  41.5254086667   
6t15  1      Electron Microscopy 3.29      602   H     -59.0907299270  -172.6278400495 -173.9231196948 176.1162033197  -171.7434200882 175.8773574991  
6t15  1      Electron Microscopy 3.29      101   J     -58.0829138923  148.9860554096  91.8175317494   24.5267419005   173.8142763505  160.0805224494  
6t15  1      Electron Microscopy 3.29      502   L     171.5237665551  -167.6178390107 159.0593283249  -144.4711342708 173.4234737072  51.3718053918   
6t15  1      Electron Microscopy 3.29      604   N     -69.7979615669  135.4400173661  50.7422302463   -160.1295755853 166.8269705126  150.5834923412  
6t15  1      Electron Microscopy 3.29      605   N     -61.3535137685  -177.0837535834 83.0861602943   -152.7076943058 149.2683531113  67.7257627151   
6t15  1      Electron Microscopy 3.29      302   P     67.2268066336   -178.7575054514 68.9054087867   -147.6123623959 130.9406219496  30.7584010911   
6t15  1      Electron Microscopy 3.29      102   S     173.9344930103  175.8165168121  -171.5937671832 57.0050826438   165.6700921921  30.8817702592   
6t15  1      Electron Microscopy 3.29      101   U     45.1340063767   174.0068607825  174.5394397317  176.6889744299  177.8980241528  44.1486899144   
6t15  1      Electron Microscopy 3.29      605   a     -69.3333201023  -157.4663843668 165.0859987770  -166.0657522142 133.4182560305  51.7388926710   
6t15  1      Electron Microscopy 3.29      302   b     178.8264221279  143.3891117240  -145.9465984591 110.1083592124  139.1180555203  137.2864657591  
6t15  1      Electron Microscopy 3.29      303   b     -28.1885694874  -150.0470499148 149.9381884409  -149.0404897669 166.3032662068  -89.3723060055  
6t15  1      Electron Microscopy 3.29      301   c     179.3384318760  156.6943955950  148.6241051947  -137.5235671668 -154.1904689634 -29.1873405023  
6t15  1      Electron Microscopy 3.29      302   c     -166.9356028918 -170.3937386742 -152.4876046557 150.2708912483  130.9539252316  80.8491120262   
6t15  1      Electron Microscopy 3.29      201   e     -167.7065753245 157.4544941644  -152.8388647876 130.6712733894  159.1755299946  148.7908472988  
5z39  1      X-ray diffraction   2.74      401   A     136.0198700304  157.1954831513  86.1561006670   -94.3511167305  173.9149103981  -121.9800929017 
6hu9  1      Electron Microscopy 3.35      501   A     28.8363225143   -166.6613721978 -131.6974807633 -140.4862921650 -150.9234036009 178.2541899926  
6hu9  1      Electron Microscopy 3.35      605   C     -150.3801210812 150.7382925936  89.0014405489   -105.7556582162 142.4142048005  73.3217912717   
6hu9  1      Electron Microscopy 3.35      606   C     179.4785157071  156.8109660356  -136.4096313033 98.3337050809   169.0003745873  -162.5897427989 
6hu9  1      Electron Microscopy 3.35      402   D     32.0064809593   164.8862592449  39.8527763562   -143.2463798293 137.7368611369  13.6288727748   
6hu9  1      Electron Microscopy 3.35      303   E     -43.5594671927  -163.7445813797 8.4859637082    104.2749673587  95.8414080896   164.9667590972  
6hu9  1      Electron Microscopy 3.35      603   H     172.3079651679  155.7942208161  -140.7977211903 127.9016537760  -166.6998272806 174.0607940407  
6hu9  1      Electron Microscopy 3.35      603   N     39.3213089962   -175.0002648409 -123.9200223639 -141.6189989616 -148.4182241310 166.9739791619  
6hu9  1      Electron Microscopy 3.35      604   N     -123.2259373307 158.4151326942  103.4551782505  -62.8865898562  -131.9179522757 -163.0107544832 
6hu9  1      Electron Microscopy 3.35      605   N     64.3959023474   -147.3697839557 5.8940003732    -151.7678361314 177.9294428080  45.4282843008   
6hu9  1      Electron Microscopy 3.35      403   O     -51.0794821761  -159.2952928375 44.0276003015   -158.7462739872 135.6199851160  35.1317900243   
6hu9  1      Electron Microscopy 3.35      303   P     122.0309041507  -139.8340547437 66.9058665649   51.5772150395   -178.2161660381 156.6070946619  
6hu9  1      Electron Microscopy 3.35      602   S     68.3335943486   -172.0029214721 -151.1130334152 -102.0782897579 154.7323173766  48.7511020518   
6hu9  1      Electron Microscopy 3.35      606   a     67.8215914310   -175.3855386738 93.4112201282   -80.5713481547  -161.1943281856 -174.3335926377 
6hu9  1      Electron Microscopy 3.35      607   a     -12.7392526864  160.3493949023  -132.3309479815 -125.3794485355 149.4112058042  -61.7499702063  
6hu9  1      Electron Microscopy 3.35      608   a     49.9605675851   -166.2410131987 128.9626074672  -155.3217191611 174.1894617018  4.8820586276    
6hu9  1      Electron Microscopy 3.35      303   b     -170.0648230122 170.4125742782  -169.6142454348 137.9129289850  146.8345586003  100.9666284098  
6hu9  1      Electron Microscopy 3.35      301   c     179.5856105556  -138.5251650472 163.1185359618  -173.2660185923 -162.7904095283 14.8639178398   
6hu9  1      Electron Microscopy 3.35      302   c     63.3014637115   -110.8803498613 -159.1004730267 -149.2753476790 -131.5499625625 -164.7798367573 
6hu9  1      Electron Microscopy 3.35      201   e     41.1381024682   140.6824114424  38.8821660981   -107.3820746791 -155.9089877340 -75.5524996934  
6hu9  1      Electron Microscopy 3.35      101   h     46.3693465815   -156.2165249254 173.5944381579  145.8411416932  -161.6699229330 22.1289194612   
6hu9  1      Electron Microscopy 3.35      606   m     56.5936126649   -169.8020991146 100.1680616386  -68.2204743523  -170.3507617639 179.5990722559  
6hu9  1      Electron Microscopy 3.35      607   m     67.0777097484   -160.4571994008 143.4065238548  155.2992090057  159.3886027321  51.9081643349   
6hu9  1      Electron Microscopy 3.35      303   n     172.0751905532  168.9580501774  -159.8334149401 140.2353303796  141.1251732526  88.7972045900   
6hu9  1      Electron Microscopy 3.35      304   n     -43.3933575411  149.1486910719  -144.2650618234 -129.8410022917 152.7479763206  -67.7459308771  
6hu9  1      Electron Microscopy 3.35      301   o     176.9636777983  -141.8853861110 -169.1318119192 -150.5456401230 -165.4136428740 0.4527943528    
6hu9  1      Electron Microscopy 3.35      302   o     52.0157811095   -116.3775962664 -156.7555210606 -141.9070305705 -122.2896569358 177.7434764482  
6hu9  1      Electron Microscopy 3.35      201   q     68.0673256061   157.1913338236  -1.3483888228   -105.7735286706 -157.2213285549 -72.2103399413  
6hu9  1      Electron Microscopy 3.35      101   t     64.1795132478   -143.0673283376 165.5490260643  157.4304569856  -167.8014439023 -3.1296765930   
5irz  1      Electron Microscopy 3.28      803   D     -122.9204126445 139.4459988966  -109.9698833570 54.1348890904   -158.3818326324 59.0687980739   
5irz  1      Electron Microscopy 3.28      804   D     -162.5956430177 83.2470609120   -100.2875326127 179.4185226127  -122.3182028705 -17.2329553179  
5irz  1      Electron Microscopy 3.28      805   D     -174.2683754163 -132.6817157069 159.9080658867  -108.7395556310 173.1608714139  -86.6024407564  
5irz  1      Electron Microscopy 3.28      806   D     -103.3202090700 -104.6949720675 154.7370753965  -29.4156758109  147.4343694447  -128.7394428275 
5irx  1      Electron Microscopy 2.95      802   A     -161.7724120740 159.1242932502  -144.3052553493 -48.7165294433  163.9864649659  -137.9107283579 
5irx  1      Electron Microscopy 2.95      803   A     -156.4412034166 115.7986138191  -149.0642224119 -43.8249520710  139.3242760934  -147.6558664357 
5irx  1      Electron Microscopy 2.95      803   D     -163.5610603368 159.1170128900  -140.7333908019 -51.1330733013  163.5892503074  -135.6783254147 
5irx  1      Electron Microscopy 2.95      102   E     -154.7620812511 164.7229640476  -155.9965007356 -54.6806572813  159.9856720918  -132.4102095525 
6cud  1      Electron Microscopy 3.3       901   A     -144.8334676649 -153.4423699271 -37.3502624807  172.1035453513  -118.2791631007 -70.9330518203  
5irx  1      Electron Microscopy 2.95      802   D     -130.3977476389 70.9933164595   105.3268293068  -144.2852046284 120.4921212202  161.4520511999  
5irx  1      Electron Microscopy 2.95      101   E     -147.5725459029 74.6931165602   106.6512978654  -141.7466894050 121.6631083396  162.6287940495  
5irx  1      Electron Microscopy 2.95      101   F     -142.8096435389 72.2451184178   110.5598698000  -139.0204744466 118.4380383064  161.5059651586  
5irx  1      Electron Microscopy 2.95      102   F     -121.8405103584 68.8136285774   104.7543314841  -144.1771403313 119.4232681399  162.1214490326  
3cxh  1      X-ray diffraction   2.5       4111  C     -89.0512719600  -169.4504897501 -155.6684334137 125.3983831918  161.7958228931  104.3656067984  
3cxh  1      X-ray diffraction   2.5       4011  N     109.2818617727  80.0379963793   -152.3974735482 122.3916151362  146.8791496521  116.9640345273  
3cx5  1      X-ray diffraction   1.9       4011  C     -177.0683351114 -105.5070709962 -142.6691432990 122.7688815934  157.1249673496  117.0177626706  
3cx5  1      X-ray diffraction   1.9       4111  N     -95.4902801744  -134.4873862790 -60.2103638974  123.2006772920  163.2230167213  115.8339259317  
6ymx  1      Electron Microscopy 3.17      407   C     -120.2626239364 -168.4245273287 -141.3913487897 -53.2494557850  -160.4253198748 163.3378810858  
6ymx  1      Electron Microscopy 3.17      405   N     -141.1491338006 -173.0382160903 -125.4156388376 6.3421617769    -145.3523559446 177.2425698550  
6o72  1      Electron Microscopy 3.0       1303  A     37.8841414381   -137.3151762095 -176.4352078228 -59.1590453523  143.1624060323  73.4557025448   
6giq  1      Electron Microscopy 3.23      401   N     -111.0306208139 179.8697268924  155.0035662562  -29.6976552460  177.5210916927  145.3810454229  
6giq  1      Electron Microscopy 3.23      407   N     -139.8579003539 138.7758162206  -84.8390256990  157.9501914625  129.2129361906  87.1125995757   
6o6r  1      Electron Microscopy 3.2       1303  A     47.0877323488   -167.7381237629 95.3954833007   -75.7244835187  -149.2484533335 38.9336655182   
2e2x  1      X-ray diffraction   2.5       400   A     60.5477557007   -178.0177757974 178.6553111575  -62.1250149791  -168.1989409978 -169.1741317710 
3peg  1      X-ray diffraction   2.524     500   A     71.4885089823   -142.3837588120 -155.0122291519 -100.2418997225 -147.2158918256 -108.3921372676 
3p7z  1      X-ray diffraction   2.65      1     A     -162.7827454638 23.1532846076   156.1873669059  -36.7551893924  137.7331885272  -175.4534174818 
3p7z  1      X-ray diffraction   2.65      1     B     -149.2365694478 34.8677836669   -79.9903085190  171.3220835640  150.6761398833  132.5117615360  
6rd5  1      Electron Microscopy 2.69      101   0     147.6514207348  117.2953408492  117.3971697748  -61.9933990214  139.8955436989  -158.1966046709 
6rd5  1      Electron Microscopy 2.69      102   0     -60.2910563867  173.5885731550  73.3807656821   52.1162350762   -129.1028662262 108.3946020575  
6rd5  1      Electron Microscopy 2.69      103   0     152.6846715783  119.3595711141  -32.7773595377  114.7603730516  -155.5119333779 -41.8719745421  
6rd5  1      Electron Microscopy 2.69      701   1     57.8301881424   105.3628863542  -127.5902155167 -73.3957936675  -116.1939843139 -174.7563747902 
6rd5  1      Electron Microscopy 2.69      203   6     -40.4695112175  110.0469145720  138.1651558505  -18.6585946057  -111.7675531055 156.9982819107  
6rd5  1      Electron Microscopy 2.69      204   6     165.8361545273  105.4379162436  -72.5578891889  122.9353022822  -89.3261751695  -86.4064522928  
6rd5  1      Electron Microscopy 2.69      205   6     -81.1619930770  119.1992205019  131.5461730010  -99.5675357642  126.5709866058  -98.4376024962  
6rd5  1      Electron Microscopy 2.69      102   8     146.3255063687  -100.4557175447 -175.5665863036 -147.8249412039 144.5781190727  50.2047022525   
6rd5  1      Electron Microscopy 2.69      104   8     156.3073377891  158.5549039648  141.8520798441  121.6925932583  153.2984827093  124.8097530795  
6rd5  1      Electron Microscopy 2.69      102   9     102.8492508662  -98.2377356715  144.3285900096  38.3522462869   81.7016534062   177.5686649457  
6rd5  1      Electron Microscopy 2.69      402   M     -11.3775556253  179.0063934244  -93.0526519622  -63.8793088488  99.9159598897   -122.7646681856 
6xiw  2      Electron Microscopy 2.8       1803  A     -155.3412438126 77.0908300269   -150.8449417839 -53.9735181165  113.5752075658  -108.1192838097 
6xiw  2      Electron Microscopy 2.8       1804  A     -164.0198625989 -153.7623147307 -39.7445868428  -145.4185921590 -139.9797827934 -83.3180380296  
6xiw  2      Electron Microscopy 2.8       1805  A     -155.3191815690 -161.0418066753 161.6858439382  107.4298513493  171.4299347816  -155.2372382969 
6xiw  2      Electron Microscopy 2.8       1806  A     -156.9034953274 -47.5220245941  -167.5199336523 -157.7383185069 168.8846912364  -62.5391800698  
6xiw  2      Electron Microscopy 2.8       1807  A     -165.9925484758 -130.0534228850 -44.9379721474  -163.6838678273 -159.5879832429 -46.7555417275  
6lum  1      Electron Microscopy 2.84      201   C     138.3109133386  108.4334465162  -150.1732949974 87.4309996217   142.9175899684  15.7275181981   
6lum  1      Electron Microscopy 2.84      202   C     -159.2309352150 -165.0165260460 -158.1336906371 162.7493325038  161.1654697709  42.3011014498   
6lum  1      Electron Microscopy 2.84      201   G     -176.7263685957 -174.2139554333 -142.6779461576 -83.2372713007  -177.1108924676 -39.6672268047  
6lum  1      Electron Microscopy 2.84      304   K     152.2916643249  161.5442968269  86.3682408119   172.1385283917  -162.8107907461 -118.4421707700 
6lum  1      Electron Microscopy 2.84      203   M     173.6653397291  179.8055392166  -126.0685417253 134.9500570709  132.6076366393  133.0075266120  
6lum  1      Electron Microscopy 2.84      304   Q     -147.9734536668 -71.5190439902  -157.3867927158 122.9970343207  96.6078661608   -99.9036238402  
6tyi  1      Electron Microscopy 3.3       301   B     68.2395921414   176.9251517174  58.0960507416   71.1280302923   -169.9528116226 -172.7265156633 
6tyi  1      Electron Microscopy 3.3       301   C     -93.1573227614  45.4471238563   29.4067990157   99.2673393850   126.6447990268  -164.8161441613 
6tyi  1      Electron Microscopy 3.3       301   E     161.5137848670  -86.9607488846  31.7063882716   141.6979678818  -110.0187176284 74.1372055771   
5jwy  1      X-ray diffraction   3.2       301   A     73.5782166901   -157.2084046412 116.8645420524  122.1419801718  -175.9360823522 -133.8154459337 
6uza  1      Electron Microscopy 3.08      1003  A     149.2654116092  -91.8683397056  -139.1870366187 140.9303463586  113.7042212163  10.0607887374   
3l9r  1      X-ray diffraction   2.3       284   C     -98.5508191691  -179.8106699778 -137.3614319171 88.6542400273   139.1529693568  -40.2660607779  
3l9r  1      X-ray diffraction   2.3       289   G     -129.9397449588 170.5848199632  -146.1243725292 68.1864957360   133.2734049454  -52.5575094551  
6or2  1      X-ray diffraction   2.59      801   A     105.9117642582  -116.8753240701 28.9682610898   -31.1859273913  160.2781012388  -162.8359393522 
6w2y  1      Electron Microscopy 3.2       906   A     -179.8438309455 -59.6475051300  -59.6431113723  -177.4402900285 -175.6215449246 65.5652162119   
6w2y  1      Electron Microscopy 3.2       906   B     173.7783610733  -61.0609287689  -62.5835179536  153.3835043079  123.3425912014  -179.8021538825 
2ein  3      X-ray diffraction   2.7       264   C     177.5273844353  -107.2835340484 -70.8199903095  -65.0757170664  -124.2006221992 58.7217965994   
2ein  3      X-ray diffraction   2.7       265   C     -57.2253183576  179.8105371959  -137.0378369302 -96.8219351712  142.0654814610  172.0734051917  
2ein  3      X-ray diffraction   2.7       1263  G     104.0369977684  -140.1609817563 82.7316908914   109.2754096637  -96.6294802754  -5.8890125619   
2ein  3      X-ray diffraction   2.7       263   T     104.7069293997  -140.3978534086 82.4603291283   112.4138959914  -101.0950160853 -4.7291302520   
2ein  3      X-ray diffraction   2.7       1264  T     177.9763635839  -109.8825390005 -66.1541267304  -66.5506067040  -129.5047434943 65.5462109595   
2eil  1      X-ray diffraction   2.1       264   C     168.4474806069  -106.2291190346 -73.6884692069  -66.6880651823  -125.4039091482 60.0670736191   
2eil  1      X-ray diffraction   2.1       265   C     -58.7230109841  175.4786499122  -130.6624066299 -95.7226064948  148.8321151436  167.4907237981  
2eil  1      X-ray diffraction   2.1       1263  G     108.5671802984  -136.8850041528 81.1378240902   112.4932600286  -102.1186504930 -2.7039515991   
2eil  1      X-ray diffraction   2.1       1264  P     162.9839227678  -108.7332627555 -67.7556749745  -66.7259775033  -131.1458172597 64.7604751350   
2eij  1      X-ray diffraction   1.9       264   C     155.6100751072  -104.1729005793 -71.1951214180  -70.8666239156  -122.8962086608 61.9809597376   
2eij  1      X-ray diffraction   1.9       265   C     -51.7883213639  174.3996410978  -136.3026832673 -90.4572199219  148.3291291488  164.8285783733  
2eij  1      X-ray diffraction   1.9       1263  G     108.7675360175  -136.6074734738 77.9109969910   113.0518891617  -105.0990869674 -0.9445730592   
3ag3  11     X-ray diffraction   1.8       264   C     162.7902512536  -99.1379190799  -68.3172725122  -71.1561977600  -130.9792877710 72.8561656919   
3ag3  11     X-ray diffraction   1.8       265   G     52.6187399143   162.2178071055  151.4846347868  -48.2928705628  109.9884273894  137.3390114160  
3ag3  11     X-ray diffraction   1.8       1263  G     39.2515804680   159.6012355717  65.9977078697   135.1302026572  -112.9326341541 4.7276022970    
3ag3  11     X-ray diffraction   1.8       1264  P     170.6474527000  -88.7853028034  -65.0880767300  -65.5815177576  -132.7503191374 68.8129202666   
3ag3  11     X-ray diffraction   1.8       1265  P     47.5820570546   170.3070007498  147.1963393437  -59.0441222696  116.7792790726  142.0614614099  
3ag3  11     X-ray diffraction   1.8       263   T     110.7557484619  151.6088054960  66.8232240098   124.0243166963  -97.5918628678  1.2311234944    
3abm  1      X-ray diffraction   1.95      264   C     166.4951933353  -110.4276771061 -66.6569601664  -68.7034310927  -120.5181054775 65.6376643803   
3abm  1      X-ray diffraction   1.95      265   G     -22.4727493067  176.2544461809  171.8253249743  -120.6846062536 159.0523070561  -176.3471091721 
3abm  1      X-ray diffraction   1.95      1263  G     127.8407091072  -136.7948709340 -16.3276405893  146.6163263878  -105.7618285910 30.0645511638   
3abm  1      X-ray diffraction   1.95      1264  P     172.4952352312  -94.2584023374  -67.7708533578  -69.6333412222  -134.3152982528 77.0436970033   
3abm  1      X-ray diffraction   1.95      263   T     102.6200947161  -130.4163918081 84.6498905305   128.4767161929  -140.8083003345 15.6842932457   
3abm  1      X-ray diffraction   1.95      1265  T     -94.9714654618  131.5742421831  -122.9647386425 -160.9702271347 -147.9768275329 -135.2402611113 
2y69  1      X-ray diffraction   1.95      1262  C     160.5711509925  -108.5286293066 -66.8047058118  -61.7795493839  -126.7480360859 52.3547361959   
2y69  1      X-ray diffraction   1.95      1262  P     160.6881150117  -101.4358078786 -66.2300161646  -72.8927836718  -126.8982622238 67.8002885519   
2eik  2      X-ray diffraction   2.1       264   C     168.5466680609  -115.0651791600 -67.1955110003  -79.3345414730  -116.9448386731 61.4492051585   
2eik  2      X-ray diffraction   2.1       265   C     -54.6685954973  175.5030013019  -131.9806785380 -93.4542989645  148.6715022865  165.7657233551  
2eik  2      X-ray diffraction   2.1       1263  G     109.3588269156  -139.2580111701 81.6139883480   111.8153841408  -104.5317603873 1.3736606941    
2eik  2      X-ray diffraction   2.1       1264  P     161.9641894131  -116.3126425931 -55.9711573029  -72.1202600532  -128.2794053193 61.3313764463   
2dyr  1      X-ray diffraction   1.8       264   C     167.7912003045  -104.3121963613 -71.6415641616  -70.3205210357  -126.6689840760 65.0645557038   
2dyr  1      X-ray diffraction   1.8       265   C     -59.0443954701  177.8790340568  -131.6036019525 -99.6568034776  154.4947413915  169.9146001001  
2dyr  1      X-ray diffraction   1.8       263   T     107.3115650713  -140.5940329607 82.3213004896   115.3165631208  -104.8788593300 -1.4834057282   
2r40  1      X-ray diffraction   2.402     10600 A     -54.8098505954  -109.8053488715 -174.7300557636 -60.8421490695  150.0232816367  -178.2406179117 
1r20  1      X-ray diffraction   3.0       4000  A     -97.4564778104  66.8018968190   -121.8380743777 85.6475765123   -179.3519944856 -179.5452425872 
3ae5  1      X-ray diffraction   3.41      1306  D     -165.5317672951 -146.1782252221 -173.0828287902 -67.9394187007  -172.4523120351 -168.4170783209 
3ixp  1      X-ray diffraction   2.85      900   A     156.8721966634  -179.0251084115 82.5566768115   -123.7240888717 -179.2912400983 -179.7010475304 
3vr8  1      X-ray diffraction   2.81      201   D     -43.5224576920  -155.2405855955 -106.7374320635 -104.7075033205 -157.3651709805 130.2757224348  
3vr8  1      X-ray diffraction   2.81      201   H     127.9702182707  -108.7734518497 -99.6589059539  -57.1667506340  126.1852129863  108.1019483972  
3vr9  4      X-ray diffraction   3.01      201   D     136.0700868991  118.5959409232  144.4781719631  -105.6594850932 -158.6543606228 -131.6872753454 
3vr9  4      X-ray diffraction   3.01      201   H     -72.9972419719  -137.4325070139 -123.8245974433 164.5286411313  167.7282234175  -175.5302204498 
1zoy  1      X-ray diffraction   2.4       1306  D     -96.9317812101  -98.7508207599  -96.6601963717  -0.1197962265   109.6951334478  61.6221574458   
1zoy  1      X-ray diffraction   2.4       1307  D     149.7242473648  179.6961353479  -59.7597875732  -60.3283150136  -116.4022223091 61.1193119758   
1g2n  1      X-ray diffraction   1.65      4000  A     156.8694053428  143.2049454143  -80.5783063000  41.3230497342   173.4592286645  169.7716885384  
1nek  1      X-ray diffraction   2.6       309   C     -167.5285749546 131.1970007139  -51.5982139388  157.1492924287  -179.8563950009 64.7511542558   
1r1k  1      X-ray diffraction   2.9       4000  A     -67.4683547545  -115.6208430146 -108.6238984624 13.8127790812   116.5160243095  175.9652432180  
3ae8  2      X-ray diffraction   3.4       1306  D     87.2864983486   -151.8381530289 176.7601693552  -62.4976518427  -164.2615050484 148.7134110479  
3ae9  1      X-ray diffraction   3.31      1306  D     108.6709873050  -106.7784012171 175.4204171682  -30.3519448894  -84.6969849301  -169.3486902857 
3aeb  1      X-ray diffraction   3.0       1306  D     6.9350796591    62.7910682015   1.7864233969    153.4120352276  -8.0885443232   171.8647319160  
3ae2  1      X-ray diffraction   3.1       1306  D     124.4968047635  -168.1361008747 175.2503293476  -112.4828311431 -85.8851641629  108.1487428349  
3ae4  1      X-ray diffraction   2.91      1306  D     105.7907765239  -79.1899887133  -131.3212988080 -160.7915767718 -95.1483628500  -162.7914700209 
3ae3  1      X-ray diffraction   3.35      1306  D     -105.5189785333 111.3849291020  109.6988489453  -95.6946553821  -101.4000395629 -158.0178107221 
3abv  1      X-ray diffraction   3.24      1306  D     -139.1231810463 127.0027664271  89.1641326682   -159.5844183110 117.7580429764  95.5947764839   
3ae6  1      X-ray diffraction   3.4       1306  D     127.4501721040  -112.1429211303 -177.5372539243 -78.6309280452  -116.9076578569 80.4096902153   
3aea  1      X-ray diffraction   3.39      1306  D     -148.4268631771 138.9393097284  146.0260058488  136.8312550887  138.4338188328  154.2874475338  
3ae1  1      X-ray diffraction   3.139     1306  D     133.1069012481  -137.1543053697 158.5210929225  -127.5844012021 -122.4282693836 179.1838234279  
3aef  1      X-ray diffraction   2.8       1306  D     -77.6740557755  131.2433908792  82.0741868407   -97.5318558634  -95.3116133435  110.7519353220  
1nen  2      X-ray diffraction   2.9       309   C     -161.2632766797 128.0690506392  -52.6709205586  164.1624226827  179.6684244218  58.0940396835   
4ytm  1      X-ray diffraction   3.4       201   D     -91.3770086378  -95.6276149329  176.4492731826  51.3615842542   -147.3002757719 94.1828793788   
